YYYYMMDD,HH,DD,FH,FF,FX,T,T10N,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,O
20240301,1,170,60,60,100,99,,82,0,0,0,0,9993,70,8,89,,5,0,0,0
20240301,2,180,60,60,90,100,,82,0,0,0,0,9988,70,8,88,,5,0,0,0
20240301,3,300,80,60,140,62,,51,0,0,7,2,9998,63,8,93,57.0,7,0,1,0
20240301,4,270,50,40,90,64,,49,0,0,0,-1,10008,70,8,90,23.0,7,0,1,0
20240301,5,260,40,30,80,54,,45,0,0,0,-1,10012,65,5,93,22.0,7,0,1,0
20240301,6,210,30,30,40,43,23.0,32,0,0,0,0,10018,65,0,92,1.0,7,0,0,0
20240301,7,200,40,40,60,51,,37,0,2,0,0,10020,65,4,91,,5,0,0,0
20240301,8,180,40,50,70,63,,44,7,34,0,0,10017,70,0,87,,5,0,0,0
20240301,9,170,60,60,100,67,,44,3,57,0,0,10015,70,7,84,,5,0,0,0
20240301,10,170,70,60,120,72,,46,2,66,0,0,10011,70,7,83,,5,0,0,0
20240301,11,160,80,80,120,79,,39,7,128,0,0,9999,75,8,75,,5,0,0,0
20240301,12,160,90,100,140,87,28.0,35,5,127,0,0,9990,80,8,69,,5,0,0,0
20240301,13,170,90,80,150,84,,32,1,35,0,-1,9988,79,8,69,51.0,7,0,1,0
20240301,14,180,80,70,160,83,,38,0,31,7,2,9988,75,8,73,81.0,7,0,1,0
20240301,15,170,80,70,130,87,,41,0,26,0,-1,9985,75,8,72,23.0,7,0,1,0
20240301,16,210,70,60,130,64,,40,0,8,1,5,9992,70,8,84,81.0,7,0,1,0
20240301,17,160,50,40,100,67,,49,3,15,3,2,9990,70,8,88,81.0,7,0,1,0
20240301,18,160,40,30,70,68,56.0,50,0,2,0,-1,9992,70,8,88,23.0,7,0,1,0
20240301,19,140,50,50,80,68,,53,0,0,4,5,9987,63,8,90,81.0,7,0,1,0
20240301,20,110,40,40,60,64,,55,0,0,3,1,9979,65,8,93,23.0,7,0,1,0
20240301,21,140,50,60,80,77,,50,0,0,0,-1,9968,70,8,82,22.0,7,0,1,0
20240301,22,140,70,60,110,86,,45,0,0,0,0,9961,75,8,75,,5,0,0,0
20240301,23,130,70,80,110,82,,40,0,0,0,-1,9955,75,8,74,81.0,7,0,1,0
20240301,24,190,80,80,150,66,58.0,47,0,0,9,7,9970,70,8,87,81.0,7,0,1,0
20240302,1,180,60,50,100,62,,45,0,0,10,6,9974,70,8,88,57.0,7,0,1,0
20240302,2,180,50,60,80,59,,40,0,0,0,-1,9976,70,8,87,23.0,7,0,1,0
20240302,3,170,50,60,100,64,,42,0,0,0,0,9977,70,8,86,2.0,7,0,0,0
20240302,4,180,60,60,90,65,,40,0,0,0,0,9979,70,8,84,,5,0,0,0
20240302,5,170,60,50,100,61,,35,0,0,0,0,9984,70,6,83,,5,0,0,0
20240302,6,150,40,50,70,59,50.0,37,0,0,0,0,9986,70,7,85,3.0,7,0,0,0
20240302,7,150,50,60,80,62,,34,0,2,0,0,9990,70,8,82,,5,0,0,0
20240302,8,160,60,60,100,64,,34,0,18,0,0,9995,70,7,81,,5,0,0,0
20240302,9,160,70,80,110,76,,39,10,93,0,0,9995,75,1,77,,5,0,0,0
20240302,10,160,70,70,110,87,,38,10,140,0,0,9998,75,0,71,,5,0,0,0
20240302,11,160,70,70,110,98,,37,10,176,0,0,9995,80,2,65,,5,0,0,0
20240302,12,160,70,70,110,107,48.0,26,8,164,0,0,9992,79,8,57,,5,0,0,0
20240302,13,160,80,80,130,105,,31,9,155,0,0,9987,83,6,60,,5,0,0,0
20240302,14,140,70,60,120,113,,41,4,110,0,0,9982,82,8,61,,5,0,0,0
20240302,15,140,70,70,100,115,,44,4,76,0,0,9979,83,8,61,,5,0,0,0
20240302,16,130,60,60,90,114,,47,0,32,0,0,9975,82,8,63,,5,0,0,0
20240302,17,120,40,30,90,108,,50,0,7,0,0,9974,80,8,67,,5,0,0,0
20240302,18,140,30,30,50,103,91.0,60,0,0,0,-1,9977,75,8,74,81.0,7,0,1,0
20240302,19,140,40,50,80,110,,52,0,0,0,-1,9977,80,8,67,23.0,7,0,1,0
20240302,20,130,50,30,70,97,,54,0,0,0,-1,9975,75,8,74,23.0,7,0,1,0
20240302,21,130,40,50,70,107,,57,0,0,0,0,9972,75,8,71,2.0,7,0,0,0
20240302,22,130,50,50,90,105,,56,0,0,0,0,9974,75,8,71,,5,0,0,0
20240302,23,150,60,50,100,106,,57,0,0,0,0,9975,75,8,71,,5,0,0,0
20240302,24,140,50,50,80,104,84.0,58,0,0,0,0,9976,75,8,72,2.0,7,0,0,0
20240303,1,130,50,40,70,105,,58,0,0,0,0,9976,75,8,72,,5,0,0,0
20240303,2,190,40,20,70,85,,53,0,0,0,0,9978,75,7,80,,5,0,0,0
20240303,3,10,20,10,40,70,,59,0,0,0,-1,9980,65,8,92,51.0,7,0,1,0
20240303,4,0,0,0,10,67,,59,0,0,0,-1,9981,61,8,94,23.0,7,0,1,0
20240303,5,140,10,10,20,62,,56,0,0,0,0,9985,62,8,96,,5,0,0,0
20240303,6,160,10,10,20,66,45.0,62,0,0,0,0,9992,65,8,97,2.0,7,0,0,0
