Time,Q,SQ,Hour,DayOfWeek,Month
2024-03-01 00:10:00,0.0,0.0,0,4,3
2024-03-01 00:20:00,0.0,0.0,0,4,3
2024-03-01 00:30:00,0.0,0.0,0,4,3
2024-03-01 00:40:00,0.0,0.0,0,4,3
2024-03-01 00:50:00,0.0,0.0,0,4,3
2024-03-01 01:00:00,0.0,0.0,1,4,3
2024-03-01 01:10:00,0.0,0.0,1,4,3
2024-03-01 01:20:00,0.0,0.0,1,4,3
2024-03-01 01:30:00,0.0,0.0,1,4,3
2024-03-01 01:40:00,0.0,0.0,1,4,3
2024-03-01 01:50:00,0.0,0.0,1,4,3
2024-03-01 02:00:00,0.0,0.0,2,4,3
2024-03-01 02:10:00,0.0,0.0,2,4,3
2024-03-01 02:20:00,0.0,0.0,2,4,3
2024-03-01 02:30:00,0.0,0.0,2,4,3
2024-03-01 02:40:00,0.0,0.0,2,4,3
2024-03-01 02:50:00,0.0,0.0,2,4,3
2024-03-01 03:00:00,0.0,0.0,3,4,3
2024-03-01 03:10:00,0.0,0.0,3,4,3
2024-03-01 03:20:00,0.0,0.0,3,4,3
2024-03-01 03:30:00,0.0,0.0,3,4,3
2024-03-01 03:40:00,0.0,0.0,3,4,3
2024-03-01 03:50:00,0.0,0.0,3,4,3
2024-03-01 04:00:00,0.0,0.0,4,4,3
2024-03-01 04:10:00,0.0,0.0,4,4,3
2024-03-01 04:20:00,0.0,0.0,4,4,3
2024-03-01 04:30:00,0.0,0.0,4,4,3
2024-03-01 04:40:00,0.0,0.0,4,4,3
2024-03-01 04:50:00,0.0,0.0,4,4,3
2024-03-01 05:00:00,0.0,0.0,5,4,3
2024-03-01 05:10:00,0.0,0.0,5,4,3
2024-03-01 05:20:00,0.0,0.0,5,4,3
2024-03-01 05:30:00,0.0,0.0,5,4,3
2024-03-01 05:40:00,0.0,0.0,5,4,3
2024-03-01 05:50:00,0.0,0.0,5,4,3
2024-03-01 06:00:00,0.0,0.0,6,4,3
2024-03-01 06:10:00,0.0,0.0,6,4,3
2024-03-01 06:20:00,0.0,0.0,6,4,3
2024-03-01 06:30:00,1.0,0.0,6,4,3
